id,complex_order_id,t,p,q
9525038_13_15,9525038,13,1000.0,400.0
9525038_14_15,9525038,14,1000.0,400.0
9525038_15_15,9525038,15,1000.0,400.0
9525038_16_15,9525038,16,1000.0,400.0
9525038_17_15,9525038,17,1000.0,400.0
9525038_18_15,9525038,18,1000.0,400.0
9525038_19_15,9525038,19,1000.0,380.2
9525038_20_2,9525038,20,97.31,14.1
9525038_20_15,9525038,20,1000.0,220.9
9525038_21_2,9525038,21,97.31,18.0
9525038_21_3,9525038,21,99.6,18.0
9525038_21_4,9525038,21,101.89,18.0
9525038_21_5,9525038,21,104.18,18.0
9525038_21_6,9525038,21,106.47,18.0
9525038_21_7,9525038,21,108.76,18.0
9525038_21_8,9525038,21,111.06,18.0
9525038_21_9,9525038,21,113.35,18.0
9525038_21_10,9525038,21,115.64,18.0
9525038_21_11,9525038,21,117.93,18.0
9525038_21_12,9525038,21,120.22,18.0
9525038_21_13,9525038,21,122.51,18.0
9525038_21_14,9525038,21,124.85,9.6
9525038_21_15,9525038,21,1000.0,9.4
9525038_22_2,9525038,22,97.31,18.0
9525038_22_3,9525038,22,99.6,18.0
9525038_22_4,9525038,22,101.89,18.0
9525038_22_5,9525038,22,104.18,18.0
9525038_22_6,9525038,22,106.47,18.0
9525038_22_7,9525038,22,108.76,18.0
9525038_22_8,9525038,22,111.06,18.0
9525038_22_9,9525038,22,113.35,18.0
9525038_22_10,9525038,22,115.64,18.0
9525038_22_11,9525038,22,117.93,18.0
9525038_22_12,9525038,22,120.22,18.0
9525038_22_13,9525038,22,122.51,18.0
9525038_22_14,9525038,22,124.85,10.4
9525038_22_15,9525038,22,1000.0,8.6
9525038_23_2,9525038,23,97.31,18.0
9525038_23_3,9525038,23,99.6,18.0
9525038_23_4,9525038,23,101.89,18.0
9525038_23_5,9525038,23,104.18,18.0
9525038_23_6,9525038,23,106.47,18.0
9525038_23_7,9525038,23,108.76,18.0
9525038_23_8,9525038,23,111.06,18.0
9525038_23_9,9525038,23,113.35,18.0
9525038_23_10,9525038,23,115.64,18.0
9525038_23_11,9525038,23,117.93,18.0
9525038_23_12,9525038,23,120.22,18.0
9525038_23_13,9525038,23,122.51,18.0
9525038_23_14,9525038,23,124.85,11.5
9525038_23_15,9525038,23,1000.0,7.5
9525038_24_15,9525038,24,1000.0,350.0
9525039_1_15,9525039,1,1000.0,392.7
9525039_2_15,9525039,2,1000.0,392.7
9525039_3_15,9525039,3,1000.0,392.7
9525039_4_15,9525039,4,1000.0,392.7
9525039_5_15,9525039,5,1000.0,392.7
9525039_6_15,9525039,6,1000.0,392.7
9525039_7_15,9525039,7,1000.0,392.7
9525039_8_15,9525039,8,1000.0,392.7
9525039_9_15,9525039,9,1000.0,392.7
9525039_10_15,9525039,10,1000.0,392.7
9525039_11_15,9525039,11,1000.0,392.7
9525039_12_15,9525039,12,1000.0,392.7
9525039_13_15,9525039,13,1000.0,392.7
9525039_14_15,9525039,14,1000.0,392.7
9525039_15_15,9525039,15,1000.0,392.7
9525039_16_15,9525039,16,1000.0,392.7
9525039_17_15,9525039,17,1000.0,392.7
9525039_18_15,9525039,18,1000.0,392.7
9525039_19_15,9525039,19,1000.0,351.3
9525039_20_2,9525039,20,92.45,18.5
9525039_20_3,9525039,20,94.32,0.7
9525039_20_15,9525039,20,1000.0,221.8
9525039_21_2,9525039,21,92.45,18.5
9525039_21_3,9525039,21,94.32,18.5
9525039_21_4,9525039,21,96.19,18.5
9525039_21_5,9525039,21,98.06,18.5
9525039_21_6,9525039,21,99.92,18.5
9525039_21_7,9525039,21,101.79,18.5
9525039_21_8,9525039,21,103.66,18.5
9525039_21_9,9525039,21,105.53,18.5
9525039_21_10,9525039,21,107.4,18.5
9525039_21_11,9525039,21,109.27,18.5
9525039_21_12,9525039,21,111.14,18.5
9525039_21_13,9525039,21,113.0,18.5
9525039_21_14,9525039,21,114.89,10.7
9525039_21_15,9525039,21,1000.0,8.3
9525039_22_2,9525039,22,92.45,18.5
9525039_22_3,9525039,22,94.32,18.5
9525039_22_4,9525039,22,96.19,18.5
9525039_22_5,9525039,22,98.06,18.5
9525039_22_6,9525039,22,99.92,18.5
9525039_22_7,9525039,22,101.79,18.5
9525039_22_8,9525039,22,103.66,18.5
9525039_22_9,9525039,22,105.53,18.5
9525039_22_10,9525039,22,107.4,18.5
9525039_22_11,9525039,22,109.27,18.5
9525039_22_12,9525039,22,111.14,18.5
9525039_22_13,9525039,22,113.0,18.5
9525039_22_14,9525039,22,114.89,12.9
9525039_22_15,9525039,22,1000.0,6.1
9525039_23_2,9525039,23,92.45,18.5
9525039_23_3,9525039,23,94.32,18.5
9525039_23_4,9525039,23,96.19,18.5
9525039_23_5,9525039,23,98.06,18.5
9525039_23_6,9525039,23,99.92,18.5
9525039_23_7,9525039,23,101.79,18.5
9525039_23_8,9525039,23,103.66,18.5
9525039_23_9,9525039,23,105.53,18.5
9525039_23_10,9525039,23,107.4,18.5
9525039_23_11,9525039,23,109.27,18.5
9525039_23_12,9525039,23,111.14,18.5
9525039_23_13,9525039,23,113.0,18.5
9525039_23_14,9525039,23,114.89,14.4
9525039_23_15,9525039,23,1000.0,4.6
9525039_24_15,9525039,24,1000.0,342.7
9525042_1_15,9525042,1,1000.0,419.3
9525042_2_15,9525042,2,1000.0,419.3
9525042_3_15,9525042,3,1000.0,419.3
9525042_4_15,9525042,4,1000.0,419.3
9525042_5_15,9525042,5,1000.0,419.3
9525042_6_15,9525042,6,1000.0,419.3
9525042_7_15,9525042,7,1000.0,419.3
9525042_8_15,9525042,8,1000.0,419.3
9525042_9_15,9525042,9,1000.0,419.3
9525042_10_15,9525042,10,1000.0,419.3
