DATE,HOUR,COUNTRY,UNIT,OFFER_TYPE,ENERGY,PRICE,MATCHED
18/03/2025,1,MI,,C,35.7,300.0,O
18/03/2025,1,MI,,C,0.1,300.0,O
18/03/2025,1,MI,,C,0.5,300.0,O
18/03/2025,1,MI,,C,0.4,300.0,O
18/03/2025,1,MI,,C,0.4,300.0,O
18/03/2025,1,MI,,C,614.6,300.0,O
18/03/2025,1,MI,,C,0.1,300.0,O
18/03/2025,1,MI,,C,0.5,300.0,O
18/03/2025,1,MI,,C,1.1,300.0,O
18/03/2025,1,MI,,C,48.1,300.0,O
18/03/2025,1,MI,,C,13.5,300.0,O
18/03/2025,1,MI,,C,3.7,300.0,O
18/03/2025,1,MI,,C,0.5,300.0,O
18/03/2025,1,MI,,C,1.1,300.0,O
18/03/2025,1,MI,,C,0.1,300.0,O
18/03/2025,1,MI,,C,7.3,300.0,O
18/03/2025,1,MI,,C,14.4,300.0,O
18/03/2025,1,MI,,C,0.4,300.0,O
18/03/2025,1,MI,,C,2.1,300.0,O
18/03/2025,1,MI,,C,11.6,300.0,O
18/03/2025,1,MI,,C,9.9,300.0,O
18/03/2025,1,MI,,C,4.2,300.0,O
18/03/2025,1,MI,,C,0.7,300.0,O
18/03/2025,1,MI,,C,0.3,300.0,O
18/03/2025,1,MI,,C,0.9,300.0,O
18/03/2025,1,MI,,C,0.9,300.0,O
18/03/2025,1,MI,,C,22.5,300.0,O
18/03/2025,1,MI,,C,0.8,300.0,O
18/03/2025,1,MI,,C,0.3,300.0,O
18/03/2025,1,MI,,C,6.0,300.0,O
18/03/2025,1,MI,,C,0.1,300.0,O
18/03/2025,1,MI,,C,0.1,300.0,O
18/03/2025,1,MI,,C,69.3,300.0,O
18/03/2025,1,MI,,C,2.4,300.0,O
18/03/2025,1,MI,,C,95.8,300.0,O
18/03/2025,1,MI,,C,53.2,300.0,O
18/03/2025,1,MI,,C,132.8,300.0,O
18/03/2025,1,MI,,C,140.4,300.0,O
18/03/2025,1,MI,,C,9.7,300.0,O
18/03/2025,1,MI,,C,3.0,300.0,O
18/03/2025,1,MI,,C,14.5,300.0,O
18/03/2025,1,MI,,C,88.1,299.0,O
18/03/2025,1,MI,,C,0.2,290.0,O
18/03/2025,1,MI,,C,4.2,281.0,O
18/03/2025,1,MI,,C,2.9,281.0,O
18/03/2025,1,MI,,C,0.7,281.0,O
18/03/2025,1,MI,,C,6.5,280.0,O
18/03/2025,1,MI,,C,888.9,280.0,O
18/03/2025,1,MI,,C,819.6,280.0,O
18/03/2025,1,MI,,C,9.2,280.0,O
18/03/2025,1,MI,,C,16.0,280.0,O
18/03/2025,1,MI,,C,1951.0,280.0,O
18/03/2025,1,MI,,C,0.8,280.0,O
18/03/2025,1,MI,,C,2.3,280.0,O
18/03/2025,1,MI,,C,1.5,280.0,O
18/03/2025,1,MI,,C,4.8,280.0,O
18/03/2025,1,MI,,C,370.4,280.0,O
18/03/2025,1,MI,,C,19.6,280.0,O
18/03/2025,1,MI,,C,886.1,275.0,O
18/03/2025,1,MI,,C,1.0,275.0,O
18/03/2025,1,MI,,C,2.3,270.0,O
18/03/2025,1,MI,,C,0.5,270.0,O
18/03/2025,1,MI,,C,1.6,262.92,O
18/03/2025,1,MI,,C,80.5,262.92,O
18/03/2025,1,MI,,C,0.1,262.0,O
18/03/2025,1,MI,,C,1.5,260.0,O
18/03/2025,1,MI,,C,12.4,255.0,O
18/03/2025,1,MI,,C,5.9,252.0,O
18/03/2025,1,MI,,C,10.8,252.0,O
18/03/2025,1,MI,,C,1.7,252.0,O
18/03/2025,1,MI,,C,0.3,252.0,O
18/03/2025,1,MI,,C,1.0,252.0,O
18/03/2025,1,MI,,C,0.4,251.0,O
18/03/2025,1,MI,,C,0.5,251.0,O
18/03/2025,1,MI,,C,1.1,251.0,O
18/03/2025,1,MI,,C,4.6,251.0,O
18/03/2025,1,MI,,C,2.4,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,3.1,251.0,O
18/03/2025,1,MI,,C,1.7,251.0,O
18/03/2025,1,MI,,C,0.7,251.0,O
18/03/2025,1,MI,,C,1.1,251.0,O
18/03/2025,1,MI,,C,0.3,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,3.0,251.0,O
18/03/2025,1,MI,,C,3.7,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
18/03/2025,1,MI,,C,7.5,251.0,O
18/03/2025,1,MI,,C,1.9,251.0,O
18/03/2025,1,MI,,C,0.6,251.0,O
18/03/2025,1,MI,,C,0.3,251.0,O
18/03/2025,1,MI,,C,0.6,251.0,O
18/03/2025,1,MI,,C,0.1,251.0,O
